Episode: 45  | Steps: 1685  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.37777777777777777  | Loss:  nan  | Mode:  Random
Episode: 46  | Steps: 1708  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.3695652173913043  | Loss:  nan  | Mode:  Random
Episode: 47  | Steps: 1777  | Eps:  1.0  | Reward:  1.0  | Avg Reward:  0.3617021276595745  | Loss:  nan  | Mode:  Random
Episode: 48  | Steps: 1800  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.375  | Loss:  nan  | Mode:  Random
Episode: 49  | Steps: 1821  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.3673469387755102  | Loss:  nan  | Mode:  Random
Episode: 50  | Steps: 1844  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.36  | Loss:  nan  | Mode:  Random
Episode: 51  | Steps: 1867  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.35294117647058826  | Loss:  nan  | Mode:  Random
Episode: 52  | Steps: 1890  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.34615384615384615  | Loss:  nan  | Mode:  Random
Episode: 53  | Steps: 1913  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.33962264150943394  | Loss:  nan  | Mode:  Random
Episode: 54  | Steps: 1936  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.3333333333333333  | Loss:  nan  | Mode:  Random
Episode: 55  | Steps: 1959  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.32727272727272727  | Loss:  nan  | Mode:  Random
Episode: 56  | Steps: 1980  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.32142857142857145  | Loss:  nan  | Mode:  Random
Episode: 57  | Steps: 2003  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.3157894736842105  | Loss:  nan  | Mode:  Random
Episode: 58  | Steps: 2026  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.3103448275862069  | Loss:  nan  | Mode:  Random
Episode: 59  | Steps: 2049  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.3050847457627119  | Loss:  nan  | Mode:  Random
Episode: 60  | Steps: 2072  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.3  | Loss:  nan  | Mode:  Random
Episode: 61  | Steps: 2095  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.29508196721311475  | Loss:  nan  | Mode:  Random
Episode: 62  | Steps: 2116  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.2903225806451613  | Loss:  nan  | Mode:  Random
Episode: 63  | Steps: 2137  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.2857142857142857  | Loss:  nan  | Mode:  Random
Episode: 64  | Steps: 2160  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.28125  | Loss:  nan  | Mode:  Random
Episode: 65  | Steps: 2183  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.27692307692307694  | Loss:  nan  | Mode:  Random
Episode: 66  | Steps: 2232  | Eps:  1.0  | Reward:  1.0  | Avg Reward:  0.2727272727272727  | Loss:  nan  | Mode:  Random
Episode: 67  | Steps: 2255  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.2835820895522388  | Loss:  nan  | Mode:  Random
Episode: 68  | Steps: 2278  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.27941176470588236  | Loss:  nan  | Mode:  Random
Episode: 69  | Steps: 2362  | Eps:  1.0  | Reward:  2.0  | Avg Reward:  0.2753623188405797  | Loss:  nan  | Mode:  Random
Episode: 70  | Steps: 2431  | Eps:  1.0  | Reward:  1.0  | Avg Reward:  0.3  | Loss:  nan  | Mode:  Random
Episode: 71  | Steps: 2454  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.30985915492957744  | Loss:  nan  | Mode:  Random
Episode: 72  | Steps: 2477  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.3055555555555556  | Loss:  nan  | Mode:  Random
Episode: 73  | Steps: 2500  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.3013698630136986  | Loss:  nan  | Mode:  Random
Episode: 74  | Steps: 2523  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.2972972972972973  | Loss:  nan  | Mode:  Random
Episode: 75  | Steps: 2546  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.29333333333333333  | Loss:  nan  | Mode:  Random
Episode: 76  | Steps: 2716  | Eps:  1.0  | Reward:  3.0  | Avg Reward:  0.2894736842105263  | Loss:  nan  | Mode:  Random
Episode: 77  | Steps: 2767  | Eps:  1.0  | Reward:  1.0  | Avg Reward:  0.3246753246753247  | Loss:  nan  | Mode:  Random
Episode: 78  | Steps: 2790  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.3333333333333333  | Loss:  nan  | Mode:  Random
Episode: 79  | Steps: 2843  | Eps:  1.0  | Reward:  1.0  | Avg Reward:  0.3291139240506329  | Loss:  nan  | Mode:  Random
Episode: 80  | Steps: 2866  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.3375  | Loss:  nan  | Mode:  Random
Episode: 81  | Steps: 2889  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.3333333333333333  | Loss:  nan  | Mode:  Random
Episode: 82  | Steps: 2960  | Eps:  1.0  | Reward:  1.0  | Avg Reward:  0.32926829268292684  | Loss:  nan  | Mode:  Random
Episode: 83  | Steps: 2983  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.3373493975903614  | Loss:  nan  | Mode:  Random
Episode: 84  | Steps: 3004  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.3333333333333333  | Loss:  nan  | Mode:  Random
Episode: 85  | Steps: 3027  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.32941176470588235  | Loss:  nan  | Mode:  Random
Episode: 86  | Steps: 3050  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.32558139534883723  | Loss:  nan  | Mode:  Random
Episode: 87  | Steps: 3073  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.3218390804597701  | Loss:  nan  | Mode:  Random
Episode: 88  | Steps: 3096  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.3181818181818182  | Loss:  nan  | Mode:  Random
Episode: 89  | Steps: 3117  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.3146067415730337  | Loss:  nan  | Mode:  Random
Episode: 90  | Steps: 3215  | Eps:  1.0  | Reward:  2.0  | Avg Reward:  0.3111111111111111  | Loss:  nan  | Mode:  Random
Episode: 91  | Steps: 3369  | Eps:  1.0  | Reward:  3.0  | Avg Reward:  0.32967032967032966  | Loss:  nan  | Mode:  Random
Episode: 92  | Steps: 3390  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.358695652173913  | Loss:  nan  | Mode:  Random
Episode: 93  | Steps: 3413  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.3548387096774194  | Loss:  nan  | Mode:  Random
Episode: 94  | Steps: 3436  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.35106382978723405  | Loss:  nan  | Mode:  Random
Episode: 95  | Steps: 3459  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.3473684210526316  | Loss:  nan  | Mode:  Random
Episode: 96  | Steps: 3482  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.34375  | Loss:  nan  | Mode:  Random
Episode: 97  | Steps: 3503  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.3402061855670103  | Loss:  nan  | Mode:  Random
Episode: 98  | Steps: 3526  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.336734693877551  | Loss:  nan  | Mode:  Random
Episode: 99  | Steps: 3549  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.3333333333333333  | Loss:  nan  | Mode:  Random
Episode: 100  | Steps: 3572  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.33  | Loss:  nan  | Mode:  Random
Episode: 101  | Steps: 3621  | Eps:  1.0  | Reward:  1.0  | Avg Reward:  0.33  | Loss:  nan  | Mode:  Random
Episode: 102  | Steps: 3644  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.34  | Loss:  nan  | Mode:  Random
Episode: 103  | Steps: 3667  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.34  | Loss:  nan  | Mode:  Random
Episode: 104  | Steps: 3688  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.33  | Loss:  nan  | Mode:  Random
Episode: 105  | Steps: 3711  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.33  | Loss:  nan  | Mode:  Random
Episode: 106  | Steps: 3734  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.32  | Loss:  nan  | Mode:  Random
Episode: 107  | Steps: 3755  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.32  | Loss:  nan  | Mode:  Random
Episode: 108  | Steps: 3776  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.3  | Loss:  nan  | Mode:  Random
Episode: 109  | Steps: 3799  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.3  | Loss:  nan  | Mode:  Random
Episode: 110  | Steps: 3822  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.28  | Loss:  nan  | Mode:  Random
Episode: 111  | Steps: 3845  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.28  | Loss:  nan  | Mode:  Random
Episode: 112  | Steps: 3868  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.28  | Loss:  nan  | Mode:  Random
Episode: 113  | Steps: 3889  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.28  | Loss:  nan  | Mode:  Random
Episode: 114  | Steps: 3912  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.28  | Loss:  nan  | Mode:  Random
Episode: 115  | Steps: 3935  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.27  | Loss:  nan  | Mode:  Random
Episode: 116  | Steps: 3958  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.27  | Loss:  nan  | Mode:  Random
Episode: 117  | Steps: 3981  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.27  | Loss:  nan  | Mode:  Random
Episode: 118  | Steps: 4004  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.27  | Loss:  nan  | Mode:  Random
Episode: 119  | Steps: 4073  | Eps:  1.0  | Reward:  1.0  | Avg Reward:  0.27  | Loss:  nan  | Mode:  Random
Episode: 120  | Steps: 4096  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.28  | Loss:  nan  | Mode:  Random
Episode: 121  | Steps: 4119  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.26  | Loss:  nan  | Mode:  Random
Episode: 122  | Steps: 4142  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.25  | Loss:  nan  | Mode:  Random
Episode: 123  | Steps: 4212  | Eps:  1.0  | Reward:  1.0  | Avg Reward:  0.22  | Loss:  nan  | Mode:  Random
Episode: 124  | Steps: 4235  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.23  | Loss:  nan  | Mode:  Random
Episode: 125  | Steps: 4258  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.23  | Loss:  nan  | Mode:  Random
Episode: 126  | Steps: 4357  | Eps:  1.0  | Reward:  2.0  | Avg Reward:  0.23  | Loss:  nan  | Mode:  Random
Episode: 127  | Steps: 4380  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.25  | Loss:  nan  | Mode:  Random
Episode: 128  | Steps: 4403  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.25  | Loss:  nan  | Mode:  Random
Episode: 129  | Steps: 4424  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.25  | Loss:  nan  | Mode:  Random
Episode: 130  | Steps: 4447  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.25  | Loss:  nan  | Mode:  Random
Episode: 131  | Steps: 4470  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.25  | Loss:  nan  | Mode:  Random
Episode: 132  | Steps: 4521  | Eps:  1.0  | Reward:  1.0  | Avg Reward:  0.25  | Loss:  nan  | Mode:  Random
Episode: 133  | Steps: 4542  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.26  | Loss:  nan  | Mode:  Random
Episode: 134  | Steps: 4595  | Eps:  1.0  | Reward:  1.0  | Avg Reward:  0.24  | Loss:  nan  | Mode:  Random
Episode: 135  | Steps: 4618  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.25  | Loss:  nan  | Mode:  Random
Episode: 136  | Steps: 4641  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.25  | Loss:  nan  | Mode:  Random
Episode: 137  | Steps: 4664  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.25  | Loss:  nan  | Mode:  Random
Episode: 138  | Steps: 4687  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.25  | Loss:  nan  | Mode:  Random
Episode: 139  | Steps: 4708  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.25  | Loss:  nan  | Mode:  Random
Episode: 140  | Steps: 4731  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.25  | Loss:  nan  | Mode:  Random
Episode: 141  | Steps: 4754  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.25  | Loss:  nan  | Mode:  Random
Episode: 142  | Steps: 4777  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.25  | Loss:  nan  | Mode:  Random
Episode: 143  | Steps: 4800  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.23  | Loss:  nan  | Mode:  Random
Episode: 144  | Steps: 4823  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.23  | Loss:  nan  | Mode:  Random
Episode: 145  | Steps: 4846  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.23  | Loss:  nan  | Mode:  Random
Episode: 146  | Steps: 4869  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.23  | Loss:  nan  | Mode:  Random
Episode: 147  | Steps: 4892  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.23  | Loss:  nan  | Mode:  Random
Episode: 148  | Steps: 4915  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.22  | Loss:  nan  | Mode:  Random
Episode: 149  | Steps: 4936  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.22  | Loss:  nan  | Mode:  Random
Episode: 150  | Steps: 5034  | Eps:  1.0  | Reward:  2.0  | Avg Reward:  0.22  | Loss:  0.5072984895954055  | Mode:  Random
Episode: 151  | Steps: 5103  | Eps:  1.0  | Reward:  1.0  | Avg Reward:  0.24  | Loss:  0.3629848019028151  | Mode:  Random
Episode: 152  | Steps: 5126  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.25  | Loss:  0.40675519232639507  | Mode:  Random
Episode: 153  | Steps: 5149  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.25  | Loss:  0.20222180307810275  | Mode:  Random
Episode: 154  | Steps: 5172  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.25  | Loss:  0.3431099417730721  | Mode:  Random
Episode: 155  | Steps: 5195  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.25  | Loss:  0.2598049402637278  | Mode:  Random
Episode: 156  | Steps: 5218  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.25  | Loss:  0.0489102614444583  | Mode:  Random
Episode: 157  | Steps: 5337  | Eps:  1.0  | Reward:  2.0  | Avg Reward:  0.25  | Loss:  0.1900839795250835  | Mode:  Random
Episode: 158  | Steps: 5360  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.27  | Loss:  0.08542567133271768  | Mode:  Random
Episode: 159  | Steps: 5383  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.27  | Loss:  0.0690112654295971  | Mode:  Random
Episode: 160  | Steps: 5406  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.27  | Loss:  0.03940474853998014  | Mode:  Random
Episode: 161  | Steps: 5457  | Eps:  1.0  | Reward:  1.0  | Avg Reward:  0.27  | Loss:  0.1415280701603136  | Mode:  Random
Episode: 162  | Steps: 5480  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.28  | Loss:  0.09022581085110613  | Mode:  Random
Episode: 163  | Steps: 5533  | Eps:  1.0  | Reward:  1.0  | Avg Reward:  0.28  | Loss:  0.308711185058434  | Mode:  Random
Episode: 164  | Steps: 5556  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.29  | Loss:  0.17259751582159133  | Mode:  Random
Episode: 165  | Steps: 5579  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.29  | Loss:  0.11688653380047609  | Mode:  Random
Episode: 166  | Steps: 5600  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.29  | Loss:  0.11741145435441507  | Mode:  Random
Episode: 167  | Steps: 5650  | Eps:  1.0  | Reward:  1.0  | Avg Reward:  0.28  | Loss:  0.14405761861868766  | Mode:  Random
Episode: 168  | Steps: 5673  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.29  | Loss:  0.1953661307436137  | Mode:  Random
Episode: 169  | Steps: 5694  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.29  | Loss:  0.3823848174157059  | Mode:  Random
Episode: 170  | Steps: 5717  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.27  | Loss:  0.23804841327192544  | Mode:  Random
Episode: 171  | Steps: 5740  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.26  | Loss:  0.05932772200098139  | Mode:  Random
Episode: 172  | Steps: 5763  | Eps:  1.0  | Reward:  0.0  | Avg Reward:  0.26  | Loss:  0.033650303206669535  | Mode:  Random
